system:index,Lat,Lat_dd,Long,Long_dd,Station_Id,date,fai,ndci,.geo,Chlorophylla_Measurement,Discharge_cfs,Temperature_C
20200808T160521_20200808T160517_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,8/8/2020,-106.6249,-0.075655431,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",3.92,0,31.5
20200811T155911_20200811T161215_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,8/11/2020,2757.3372,0.213087248,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",39.7,968,30.9
20201017T160521_20201017T160517_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,10/17/2020,53.0096,0.096774194,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",7.91,4047,27
20201116T160511_20201116T160514_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,11/16/2020,-13.0475,0.177664975,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",3.9,4096,26.1
20201201T160509_20201201T160510_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,12/1/2020,2.6921,-0.016216216,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",3.54,3984,23.2
20201214T160649_20201214T160650_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,12/14/2020,-21.9333,0.056379822,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",4.44,2040,18.7
20201214T160649_20201214T160650_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,12/14/2020,3078.1189,0.295711061,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",6.44,3170,19.8
20201226T160511_20201226T160511_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,12/26/2020,-19.6094,0.026548673,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",5.08,1404,16.4
20201229T160651_20201229T161425_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,12/29/2020,-39.254,-0.005347594,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",5.08,825,16.4
20210110T160509_20210110T160510_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,1/10/2021,-24.6158,0.358885017,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",5.24,658,17.8
20210128T160521_20210128T161127_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,1/28/2021,18.6953,-0.005617978,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",13.5,837,19.7
20210222T160149_20210222T161055_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,2/22/2021,1022.4177,0.049948187,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",21,886,21.5
20210405T160511_20210405T160507_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,4/5/2021,-131.8378,-0.5,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",5.94,1245,21.2
20210408T155901_20210408T161252_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,4/8/2021,1426.0704,0.154251317,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",7.7,663,24
20210811T155819_20210811T160454_T17RMK_0,265026.82,26.84078333,810500.68,-81.08352222,S77,8/11/2021,-6.095,0.088422081,"{""type"":""Point"",""coordinates"":[-81.083522,26.840783]}",27,106,30
20210811T155819_20210811T160454_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,8/11/2021,3060.5479,0.3437014,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",10.8,1390,30.3
20210905T155901_20210905T160747_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,9/5/2021,2230.8041,0.233038348,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",20.5,1350,29.5
20210910T155819_20210910T160507_T17RMK_4,264321.915,26.72275417,814127.65,-81.69101389,S79,9/10/2021,2602.8804,0.20620438,"{""type"":""Point"",""coordinates"":[-81.691014,26.722754]}",20.5,2360,29.5
